#newitem
#id none
#basechance 8
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head barehead
#degenerate
#enditem

#sprite /graphics/atlantian/head/ironcap.png
#offsetx 1
#offsety -13
#armor
#theme "iron"
#needstype head shambler
#enditem

#newitem
#basechance 0.25
#id "ironcap-elite"
#dominionsId 20
#sprite /graphics/atlantian/head/ironcap2.png
#recolormask /graphics/atlantian/head/ironcap2_recolormask.png
#offsetx 1
#offsety -13
#armor
#theme "iron"
#needstype head shambler
#enditem

#newitem
#basechance 0.25
#id "halfhelm"
#dominionsId 118
#sprite /graphics/atlantian/head/ironcap2.png
#recolormask /graphics/atlantian/head/ironcap2_recolormask.png
#offsetx 1
#offsety -13
#armor
#theme "iron"
#needstype head shambler
#minprot 12
#enditem


-- Canid helmets
#newitem
#basechance 0.1
#id barehead_canid
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head canid
#degenerate
#enditem

#newitem
#basechance 0.2
#id highman_leathercap
#dominionsId 120
#sprite /graphics/highmen/helmet/cap_leather_hoburg.png
#armor
#tag "eliteversion highman_leathercap_crested"
#tag "eliteversion highman_leathercap_reinforced"
#offsetx 2
#offsety -16
#maxprot 12
#theme "leather"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_leathercap_reinforced
#dominionsId 119
#sprite /graphics/highmen/helmet/cap_leather_reinforced_hoburg.png
#armor
#tag "eliteversion highman_leathercap_crested"
#offsetx 2
#offsety -16
#maxprot 12
#theme "leather"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_leathercap_crested
#dominionsId 162
#sprite /graphics/highmen/helmet/cap_leather_crested.png
#recolormask /graphics/highmen/helmet/crest_recolormask.png
#armor
#offsetx 2
#offsety -4
#maxprot 12
#theme "leather"
#theme "elite"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_ironcap
#dominionsId 20
#sprite /graphics/highmen/helmet/cap_iron_hoburg.png
#armor
#tag "eliteversion highman_ironcap_crested"
#offsetx 2
#offsety -16
#theme "iron"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_ironcap_crested
#dominionsId 20
#sprite /graphics/highmen/helmet/cap_iron_crested.png
#recolormask /graphics/highmen/helmet/crest_recolormask.png
#armor
#offsetx 2
#offsety -4
#theme "iron"
#theme "elite"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_bascinet
#dominionsId 118
#sprite /graphics/highmen/helmet/bascinet.png
#tag "eliteversion highman_bascinet_crested"
#armor
#minprot 12
#offsetx 2
#offsety -4
#theme "iron"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_bascinet_crested
#dominionsId 118
#sprite /graphics/highmen/helmet/bascinet_crested.png
#recolormask /graphics/highmen/helmet/bascinet_crested_recolormask.png
#armor
#minprot 12
#offsetx 2
#offsety -4
#theme "iron"
#theme "elite"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_halfhelm_iron
#dominionsId 118
#sprite /graphics/highmen/helmet/halfhelm_iron_hoburg.png
#armor
#tag "eliteversion highman_halfhelm_iron_horned"
#offsetx 2
#offsety -16
#minprot 12
#theme "iron"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_halfhelm_iron_horned
#dominionsId 118
#sprite /graphics/highmen/helmet/halfhelm_iron_horned_hoburg.png
#armor
#offsetx 2
#offsety -16
#minprot 12
#theme "iron"
#theme "elite"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_fullhelm_iron
#dominionsId 21
#sprite /graphics/highmen/helmet/fullhelm_iron_hoburg.png
#armor
#tag "eliteversion highman_fullhelm_iron_horned"
#offsetx 2
#offsety -16
#minprot 14
#theme "iron"
#theme "advanced"
#needstype head canid
#enditem

#newitem
#basechance 0.2
#id highman_fullhelm_iron_horned
#dominionsId 21
#sprite /graphics/highmen/helmet/fullhelm_iron_horned_hoburg.png
#armor
#offsetx 2
#offsety -16
#minprot 14
#theme "iron"
#theme "advanced"
#theme "elite"
#needstype head canid
#enditem

-- Canid-plus-something helmets
#newitem
#basechance 0.1
#id barehead_canids
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head canids
#degenerate
#enditem

#newitem
#basechance 0.05
#id canids_leathercap
#dominionsId 120
#sprite /graphics/highmen/helmet/cap_leather_hoburg.png
#armor
#tag "eliteversion canids_leathercap_crested"
#tag "eliteversion canids_leathercap_reinforced"
#offsety -16
#maxprot 12
#theme "leather"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_leathercap_reinforced
#dominionsId 119
#sprite /graphics/highmen/helmet/cap_leather_reinforced_hoburg.png
#armor
#tag "eliteversion canids_leathercap_crested"
#offsety -16
#maxprot 12
#theme "leather"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_leathercap_crested
#dominionsId 162
#sprite /graphics/highmen/helmet/cap_leather_crested.png
#recolormask /graphics/highmen/helmet/crest_recolormask.png
#armor
#offsety -4
#maxprot 12
#theme "leather"
#theme "elite"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_ironcap
#dominionsId 20
#sprite /graphics/highmen/helmet/cap_iron_hoburg.png
#armor
#tag "eliteversion canids_ironcap_crested"
#offsety -16
#theme "iron"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_ironcap_crested
#dominionsId 20
#sprite /graphics/highmen/helmet/cap_iron_crested.png
#recolormask /graphics/highmen/helmet/crest_recolormask.png
#armor
#offsety -4
#theme "iron"
#theme "elite"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_bascinet
#dominionsId 118
#sprite /graphics/highmen/helmet/bascinet.png
#tag "eliteversion highman_bascinet_crested"
#armor
#minprot 12
#offsety -4
#theme "iron"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_bascinet_crested
#dominionsId 118
#sprite /graphics/highmen/helmet/bascinet_crested.png
#recolormask /graphics/highmen/helmet/bascinet_crested_recolormask.png
#armor
#minprot 12
#offsety -4
#theme "iron"
#theme "elite"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_halfhelm_iron
#dominionsId 118
#sprite /graphics/highmen/helmet/halfhelm_iron_hoburg.png
#armor
#tag "eliteversion canids_halfhelm_iron_horned"
#offsety -16
#minprot 12
#theme "iron"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_halfhelm_iron_horned
#dominionsId 118
#sprite /graphics/highmen/helmet/halfhelm_iron_horned_hoburg.png
#armor
#offsety -16
#minprot 12
#theme "iron"
#theme "elite"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_fullhelm_iron
#dominionsId 21
#sprite /graphics/highmen/helmet/fullhelm_iron_hoburg.png
#armor
#tag "eliteversion canids_fullhelm_iron_horned"
#offsety -16
#minprot 14
#theme "iron"
#theme "advanced"
#needstype head canids
#enditem

#newitem
#basechance 0.05
#id canids_fullhelm_iron_horned
#dominionsId 21
#sprite /graphics/highmen/helmet/fullhelm_iron_horned_hoburg.png
#armor
#offsety -16
#minprot 14
#theme "iron"
#theme "advanced"
#theme "elite"
#needstype head canids
#enditem


-- Ogre helmets
#newitem
#basechance 0.1
#id bald_ogre
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head ogre
#degenerate
#enditem

#newitem
#basechance 0.3
#id barehead_ogre
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head ogre
#needstype hair black
#degenerate
#enditem

#newitem
#basechance 0.2
#id ogre_leathercap
#dominionsId 120
#sprite /graphics/ogre/helmet/leathercap.png
#armor
#tag "eliteversion ogre_leathercap_crested"
#tag "eliteversion ogre_leathercap_reinforced"
#maxprot 12
#theme "leather"
#needstype head ogre
#enditem

#newitem
#basechance 0.2
#id ogre_leathercap_reinforced
#dominionsId 119
#sprite /graphics/ogre/helmet/reinforcedcap.png
#armor
#tag "eliteversion ogre_leathercap_crested"
#maxprot 12
#theme "leather"
#needstype head ogre
#enditem

#newitem
#basechance 0.2
#id ogre_leathercap_crested
#dominionsId 162
#sprite /graphics/ogre/helmet/leathercap_crested.png
#recolormask /graphics/ogre/helmet/crest_recolormask.png
#armor
#maxprot 12
#theme "leather"
#theme "elite"
#needstype head ogre
#enditem

#newitem
#basechance 0.2
#id ogre_ironcap
#dominionsId 20
#sprite /graphics/ogre/helmet/ironcap.png
#armor
#tag "eliteversion ogre_ironcap_crested"
#theme "iron"
#needstype head ogre
#enditem

#newitem
#basechance 0.2
#id ogre_ironcap_crested
#dominionsId 20
#sprite /graphics/ogre/helmet/ironcap_crested.png
#recolormask /graphics/ogre/helmet/crest_recolormask.png
#armor
#theme "iron"
#theme "elite"
#needstype head ogre
#enditem

#newitem
#basechance 0.2
#id ogre_halfhelm
#dominionsId 118
#sprite /graphics/ogre/helmet/halfhelm.png
#armor
#tag "eliteversion ogre_halfhelm_crested"
#minprot 12
#theme "iron"
#needstype head ogre
#enditem

#newitem
#basechance 0.2
#id ogre_halfhelm_crested
#dominionsId 118
#sprite /graphics/ogre/helmet/halfhelm_crested.png
#recolormask /graphics/ogre/helmet/crest_recolormask.png
#armor
#minprot 12
#theme "iron"
#theme "elite"
#needstype head ogre
#enditem

#newitem
#basechance 0.2
#id ogre_fullhelm
#dominionsId 21
#sprite /graphics/ogre/helmet/fullhelm.png
#armor
#tag "eliteversion ogre_fullhelm_crested"
#minprot 14
#theme "iron"
#theme "advanced"
#needstype head ogre
#enditem

#newitem
#basechance 0.2
#id ogre_fullhelm_crested
#dominionsId 21
#sprite /graphics/ogre/helmet/fullhelm_crested.png
#recolormask /graphics/ogre/helmet/crest_recolormask.png
#armor
#minprot 14
#theme "iron"
#theme "advanced"
#theme "elite"
#needstype head ogre
#enditem

#newitem
#basechance 0.1
#id ogre_jingasa
#dominionsId 131
#sprite /graphics/ogre/helmet/jingasa.png
#recolormask /graphics/ogre/helmet/jingasa_recolormask.png
#armor
#theme "oriental"
#theme "iron"
#maxprot 12
#needstype head ogre
#enditem

#newitem
#basechance 0.1
#id ogre_kabuto
#dominionsId 132
#sprite /graphics/ogre/helmet/kabuto.png
#eliteversion ogre_kabuto_elite
#armor
#theme "oriental"
#theme "iron"
#minprot 12
#needstype head ogre
#enditem

#newitem
#basechance 0.1
#id ogre_kabuto_elite
#dominionsId 132
#sprite /graphics/ogre/helmet/kabuto_elite.png
#eliteversion ogre_kabuto_elite
#armor
#theme "oriental"
#theme "iron"
#theme "elite"
#minprot 12
#needstype head ogre
#enditem


-- Twin ogre helmets
#newitem
#basechance 0.6
#id barehead_ogres
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head ogres
#degenerate
#enditem

#newitem
#basechance 0.2
#id ogres_leathercap
#dominionsId 120
#sprite /graphics/foulspawn/medium/helmet/leathercap.png
#armor
#maxprot 12
#theme "leather"
#needstype head ogres
#enditem

#newitem
#basechance 0.2
#id ogres_leathercap_reinforced
#dominionsId 119
#sprite /graphics/foulspawn/medium/helmet/reinforcedcap.png
#armor
#maxprot 12
#theme "leather"
#needstype head ogres
#enditem

#newitem
#basechance 0.2
#id ogres_ironcap
#dominionsId 20
#sprite /graphics/foulspawn/medium/helmet/ironcap.png
#armor
#theme "iron"
#needstype head ogres
#enditem

#newitem
#basechance 0.1
#id ogres_halfhelm
#dominionsId 118
#sprite /graphics/foulspawn/medium/helmet/halfhelm.png
#armor
#minprot 12
#theme "iron"
#needstype head ogres
#enditem

#newitem
#basechance 0.1
#id ogres_fullhelm
#dominionsId 21
#sprite /graphics/foulspawn/medium/helmet/fullhelm.png
#armor
#minprot 14
#theme "iron"
#theme "advanced"
#needstype head ogres
#enditem

#newitem
#basechance 0.1
#id ogres_jingasa
#dominionsId 131
#sprite /graphics/foulspawn/medium/helmet/jingasa.png
#recolormask /graphics/foulspawn/medium/helmet/jingasa_recolormask.png
#armor
#theme "oriental"
#theme "iron"
#maxprot 12
#needstype head ogres
#enditem

#newitem
#basechance 0.1
#id ogres_kabuto
#dominionsId 132
#sprite /graphics/foulspawn/medium/helmet/kabuto.png
#eliteversion orges_kabuto_elite
#armor
#theme "oriental"
#theme "iron"
#minprot 12
#needstype head ogres
#enditem
